Sciname,Group,Common,EwE_name,EwE_num,AspectRatio,CommonLength,Swim_mode,Base_rate,Scaled_RD,Scaled_SS,Scaler_Snook,Scaled_avg,Scaler_sd
heteropriacanthus cruentatus,reef-rubble-associated invertebrate feeders,GLASSEYE,Reef invertebrate feeders,46,1.83525,20,0,1.17444,24,21,21,22,1
lachnolaimus maximus,reef-rubble-associated invertebrate feeders,HOGFISH,Reef invertebrate feeders,46,3.9567,35,0,2.16999,45,39,39,41,1
lutjanus apodus,reef-rubble-associated invertebrate feeders,SCHOOLMASTER SNAPPER,Reef invertebrate feeders,46,1.77557,35,0,1.64219,34,30,29,31,1
lutjanus synagris,reef-rubble-associated invertebrate feeders,"SNAPPER, LANE",Reef invertebrate feeders,46,1.46359,25,0,1.24651,26,22,22,23,1
morone mississippiensis,reef-rubble-associated invertebrate feeders,YELLOW BASS,Reef invertebrate feeders,46,1.56278,23.9,0,1.2402,25,22,22,23,1
ocyurus chrysurus,reef-rubble-associated invertebrate feeders,YELLOWTAIL SNAPPER,Reef invertebrate feeders,46,1.73696,40,0,1.77025,36,32,32,33,1
paranthias furcifer,reef-rubble-associated invertebrate feeders,CREOLE-FISH,Reef invertebrate feeders,46,2.55241,20,0,1.31721,27,24,24,25,1
pareques acuminatus,reef-rubble-associated invertebrate feeders,HIGHHAT,Reef invertebrate feeders,46,1.24935,18,0,0.96248,20,17,17,18,0
pareques umbrosus,reef-rubble-associated invertebrate feeders,CUBBYU,Reef invertebrate feeders,46,1.26941,15,0,0.86445,18,16,15,16,0
pomadasys crocro,reef-rubble-associated invertebrate feeders,BURRO GRUNT,Reef invertebrate feeders,46,1.72994,25,0,1.32115,27,24,24,25,1
pontinus longispinis,reef-rubble-associated invertebrate feeders,LONGSPINE SCORPIONFISH,Reef invertebrate feeders,46,1.43694,20,0,1.07864,22,19,19,20,1
priacanthus arenatus,reef-rubble-associated invertebrate feeders,BIGEYE,Reef invertebrate feeders,46,2.04264,35,0,1.72421,35,31,31,32,1
pristigenys alta,reef-rubble-associated invertebrate feeders,SHORT BIGEYE,Reef invertebrate feeders,46,1.25797,20,0,1.02987,21,19,18,19,1
scorpaena plumieri,reef-rubble-associated invertebrate feeders,SPOTTED SCORPIONFISH,Reef invertebrate feeders,46,0.8227,30,0,1.14221,23,21,20,21,1
serranus atrobranchus,reef-rubble-associated invertebrate feeders,BLACKEAR BASS,Reef invertebrate feeders,46,1.03866,9,0,0.58746,12,11,10,11,0
serranus phoebe,reef-rubble-associated invertebrate feeders,TATTLER,Reef invertebrate feeders,46,1.25578,15,0,0.86121,18,16,15,16,0
xyrichtys novacula,reef-rubble-associated invertebrate feeders,PEARLY RAZORFISH,Reef invertebrate feeders,46,1.37048,20,0,1.06102,22,19,19,20,1
alectis ciliaris,demersal coastal invertebrate feeders,AFRICAN POMPANO,Demersal coastal invertebrate feeders,47,4.40876,100,0,4.31811,89,78,77,81,2
ariopsis felis,demersal coastal invertebrate feeders,HARDHEAD SEA CATFISH,Demersal coastal invertebrate feeders,47,1.87561,25,0,1.35882,28,24,24,26,1
bagre marinus,demersal coastal invertebrate feeders,GAFFTOPSAIL CATFISH,Demersal coastal invertebrate feeders,47,2.47999,50,0,2.30076,47,41,41,43,1
