EwE_num,EwE_name,Common,Sciname
25,Skates-rays,australian bull ray,myliobatis australis
25,Skates-rays,ray,myliobatoidea
25,Skates-rays,brazilian electric ray,narcine brasiliensis
25,Skates-rays,leopard catshark,poroderma pantherinum
25,Skates-rays,sawfish,pristidae
25,Skates-rays,bullray,pteromylaeus bovinus
25,Skates-rays,pelagic stingray,pteroplatytrygon violacea
25,Skates-rays,skate,raja sp
25,Skates-rays,skate,rajidae
25,Skates-rays,bowmouth guitarfish,rhina ancylostoma
25,Skates-rays,shark ray,rhina sp
25,Skates-rays,guitarfish,rhinobatidae
25,Skates-rays,lesser guitarfish,rhinobatos annulatus
25,Skates-rays,common guitarfish,rhinobatos rhinobatos
25,Skates-rays,cownose ray,rhinoptera sp
25,Skates-rays,giant guitarfish,rhynchobatus djiddensis
25,Skates-rays,catshark,scyliorhinidae
25,Skates-rays,zebra shark,stegostoma fasciatum
25,Skates-rays,torpedo ray,torpedo sp
25,Skates-rays,round stingray,urolophidae
25,Skates-rays,round ray,urolophus sp
25,Skates-rays,shortnose guitarfish,zapteryx brevirostris
"26,27",Gag grouper (0-3yr),gag,mycteroperca microlepis
"26,27",Gag grouper (0-3yr),gag grouper (age 0-3),mycteroperca microlepis
"26,27",Gag grouper (3+yr),gag grouper (age 3+),mycteroperca microlepis
"28,29",Red grouper (0-3yr),"grouper, red",epinephelus morio
"28,29",Red grouper (0-3yr),red grouper,epinephelus morio
"28,29",Red grouper (0-3yr),red grouper (age 0-3),epinephelus morio
"28,29",Red grouper (3+yr),red grouper (age 3+),epinephelus morio
"30,31",Yellowedge grouper (0-3yr),"grouper, yellowedge",epinephelus flavolimbatus
"30,31",Yellowedge grouper (0-3yr),yellowedge grouper,epinephelus flavolimbatus
"30,31",Yellowedge grouper (0-3yr),yellowedge grouper (age 0-3),hyporthodus flavolimbatus
"30,31",Yellowedge grouper (3+yr),yellowedge grouper (age 3+),hyporthodus flavolimbatus
32,Goliath grouper,goliath grouper,epinephelus itajara
32,Goliath grouper,"grouper, goliath",na
32,Goliath grouper,jewfish,epinephelus itajara
32,Goliath grouper,atlantic goliath grouper,epinephelus itajara
33,Deep-water grouper,"grouper, misty",epinephelus mystacinus
33,Deep-water grouper,"grouper, snowy",epinephelus niveatus
33,Deep-water grouper,"grouper, warsaw",epinephelus nigritus
33,Deep-water grouper,misty grouper,epinephelus mystacinus
33,Deep-water grouper,snowy grouper,epinephelus niveatus
33,Deep-water grouper,warsaw grouper,epinephelus nigritus
33,Deep-water grouper,misty grouper,hyporthodus mystacinus
33,Deep-water grouper,warsaw grouper,hyporthodus nigritus
33,Deep-water grouper,snowy grouper,hyporthodus niveatus
34,Shallow-water grouper,black grouper,mycteroperca bonaci
34,Shallow-water grouper,comb grouper,mycteroperca rubra
34,Shallow-water grouper,coney,epinephelus fulvus
34,Shallow-water grouper,graysby,epinephelus cruentatus
34,Shallow-water grouper,"grouper, black",mycteroperca bonaci
34,Shallow-water grouper,"grouper, marbled",epinephelus inermis
34,Shallow-water grouper,"grouper, nassau",epinephelus striatus
34,Shallow-water grouper,"grouper, yellowfin",mycteroperca venenosa
34,Shallow-water grouper,"grouper, yellowmouth",mycteroperca interstitialis
34,Shallow-water grouper,"hind, red",epinephelus guttatus
34,Shallow-water grouper,"hind, rock",epinephelus adscensionis
34,Shallow-water grouper,"hind, speckled",epinephelus drummondhayi
34,Shallow-water grouper,marbled grouper,epinephelus inermis
34,Shallow-water grouper,nassau grouper,epinephelus striatus
34,Shallow-water grouper,red hind,epinephelus guttatus
34,Shallow-water grouper,rock hind,epinephelus adscensionis
34,Shallow-water grouper,scamp,mycteroperca phenax
34,Shallow-water grouper,speckled hind,epinephelus drummondhayi
34,Shallow-water grouper,tiger grouper,mycteroperca tigris
34,Shallow-water grouper,yellowfin grouper,mycteroperca venenosa
34,Shallow-water grouper,yellowmouth grouper,mycteroperca interstitialis
34,Shallow-water grouper,graysby,cephalopholis cruentata
